step 40044/60000 (66.74%) | K: 2 | loss: 5.969674 | L1: 2.557952 | L2: 3.441762 | lrm: 0.54 | dt: 1973.46ms | tok/sec: 265,669 | bf16_mfu: 62.28 | epoch: 3 pq: 101 rg: 32 | total time: 677.78m | eta: 337.9m
step 40045/60000 (66.74%) | K: 2 | loss: 5.959068 | L1: 2.565012 | L2: 3.420929 | lrm: 0.54 | dt: 1972.53ms | tok/sec: 265,794 | bf16_mfu: 62.31 | epoch: 3 pq: 101 rg: 32 | total time: 677.82m | eta: 337.8m
step 40046/60000 (66.74%) | K: 2 | loss: 5.933511 | L1: 2.564844 | L2: 3.392652 | lrm: 0.54 | dt: 1972.39ms | tok/sec: 265,814 | bf16_mfu: 62.31 | epoch: 3 pq: 101 rg: 32 | total time: 677.85m | eta: 337.8m
step 40047/60000 (66.75%) | K: 2 | loss: 5.900559 | L1: 2.561159 | L2: 3.360784 | lrm: 0.54 | dt: 1973.85ms | tok/sec: 265,617 | bf16_mfu: 62.27 | epoch: 3 pq: 101 rg: 32 | total time: 677.88m | eta: 337.8m
step 40048/60000 (66.75%) | K: 2 | loss: 5.886472 | L1: 2.565535 | L2: 3.340064 | lrm: 0.54 | dt: 1973.61ms | tok/sec: 265,649 | bf16_mfu: 62.27 | epoch: 3 pq: 101 rg: 32 | total time: 677.91m | eta: 337.8m
step 40049/60000 (66.75%) | K: 2 | loss: 5.860160 | L1: 2.563748 | L2: 3.313489 | lrm: 0.54 | dt: 1973.63ms | tok/sec: 265,647 | bf16_mfu: 62.27 | epoch: 3 pq: 101 rg: 40 | total time: 677.95m | eta: 337.8m
step 40050/60000 (66.75%) | K: 2 | loss: 5.855320 | L1: 2.572266 | L2: 3.298353 | lrm: 0.54 | dt: 1973.83ms | tok/sec: 265,619 | bf16_mfu: 62.27 | epoch: 3 pq: 101 rg: 40 | total time: 677.98m | eta: 337.8m
step 40051/60000 (66.75%) | K: 2 | loss: 5.816094 | L1: 2.564170 | L2: 3.265556 | lrm: 0.54 | dt: 1971.98ms | tok/sec: 265,869 | bf16_mfu: 62.32 | epoch: 3 pq: 101 rg: 40 | total time: 678.01m | eta: 337.8m
step 40052/60000 (66.75%) | K: 2 | loss: 5.796895 | L1: 2.565753 | L2: 3.243328 | lrm: 0.54 | dt: 1975.30ms | tok/sec: 265,421 | bf16_mfu: 62.22 | epoch: 3 pq: 101 rg: 40 | total time: 678.05m | eta: 337.8m
step 40053/60000 (66.75%) | K: 2 | loss: 5.779604 | L1: 2.567698 | L2: 3.222803 | lrm: 0.54 | dt: 1973.37ms | tok/sec: 265,682 | bf16_mfu: 62.28 | epoch: 3 pq: 101 rg: 40 | total time: 678.08m | eta: 337.8m
